pclass,sex,age,sibsp,parch,fare,survived
3,female,24.0,1,0,15.85,1
3,male,19.0,0,0,6.75,0
2,male,18.0,0,0,11.5,0
2,male,19.0,1,1,36.75,0
3,male,27.0,0,0,7.7958,1
3,female,9.0,2,2,34.375,0
2,male,36.5,0,2,26.0,0
2,male,42.0,0,0,13.0,0
2,male,51.0,0,0,12.525,0
1,female,22.0,1,0,66.6,1
3,male,55.5,0,0,8.05,0
3,male,40.5,0,2,14.5,0
1,male,51.0,0,1,61.3792,0
3,female,16.0,0,0,7.7333,1
3,male,30.0,0,0,8.05,0
3,male,44.0,0,1,16.1,0
2,female,40.0,0,0,15.75,1
3,male,26.0,0,0,7.775,0
3,male,17.0,0,0,8.6625,0
3,male,1.0,4,1,39.6875,0
3,male,9.0,0,2,20.525,1
3,female,45.0,1,4,27.9,0
3,male,28.0,0,0,56.4958,0
1,male,61.0,0,0,33.5,0
3,male,4.0,4,1,29.125,0
3,female,1.0,1,1,11.1333,1
3,male,21.0,0,0,7.925,0
1,male,56.0,0,0,30.6958,0
3,male,18.0,1,1,7.8542,0
1,female,50.0,0,0,28.7125,0
2,male,30.0,0,0,13.0,0
3,male,36.0,0,0,0.0,0
3,male,9.0,4,2,31.3875,0
2,male,1.0,2,1,39.0,1
3,female,4.0,0,2,22.025,1
1,male,45.0,0,0,26.55,1
3,male,40.0,1,1,15.5,0
3,male,36.0,0,0,7.8958,0
2,female,32.0,0,0,13.0,1
2,male,19.0,0,0,13.0,0
3,female,19.0,1,0,7.8542,1
2,male,3.0,1,1,26.0,1
1,female,44.0,0,0,27.7208,1
1,female,58.0,0,0,146.5208,1
3,male,42.0,0,1,8.4042,0
2,female,24.0,0,0,13.0,0
3,male,28.0,0,0,9.5,0
3,male,34.0,0,0,6.4958,0
3,male,45.5,0,0,7.225,0
3,male,18.0,0,0,8.05,1
3,female,2.0,0,1,10.4625,0
3,male,32.0,1,0,15.85,0
3,male,26.0,0,0,18.7875,1
3,female,16.0,0,0,7.75,1
1,male,40.0,0,0,31.0,1
3,male,24.0,0,0,7.05,0
2,female,35.0,0,0,21.0,1
3,male,22.0,0,0,7.25,0
2,male,30.0,0,0,13.0,0
1,female,31.0,1,0,113.275,1
3,female,27.0,0,0,7.925,1
2,male,42.0,1,0,27.0,0
1,female,32.0,0,0,76.2917,1
2,male,30.0,0,0,10.5,0
3,male,16.0,0,0,8.05,1
2,male,27.0,0,0,13.0,0
3,male,51.0,0,0,8.05,0
1,male,38.0,1,0,90.0,1
3,male,22.0,0,0,9.35,0
2,male,19.0,0,0,10.5,1
3,male,20.5,0,0,7.25,0
2,male,18.0,0,0,13.0,0
1,female,35.0,1,0,83.475,1
3,male,29.0,0,0,7.775,0
2,male,59.0,0,0,13.5,0
3,female,5.0,4,2,31.3875,1
2,male,24.0,0,0,10.5,0
2,male,44.0,1,0,26.0,0
2,female,8.0,0,2,26.25,1
2,male,19.0,0,0,10.5,0
2,male,33.0,0,0,12.275,0
2,male,29.0,0,0,10.5,0
3,male,22.0,0,0,7.125,0
3,male,30.0,0,0,7.225,0
1,male,44.0,2,0,90.0,0
3,female,25.0,0,0,7.775,0
2,female,24.0,0,2,14.5,1
